Invoice number,Payment due,Payment paid,Late<30,30<Late<60,60<Late<90,90<Late
6-2016
55489,628,628,628,0,0,0
8981,4995,218,218,0,0,0
8982,9862,9862,9862,0,0,0
8997,1390,1390,1390,0,0,0
total due: 16875, total paid: 12098
7-2016
55550,228,228,228,0,0,0
total due: 228, total paid: 228
9-2016
722,668,1336,1336,0,0,0
total due: 668, total paid: 1336
10-2016
9484,14000,1234,1234,0,0,0
55636,493,493,493,0,0,0
total due: 14493, total paid: 1727
11-2016
9642,130,0,0,0,0,0
total due: 130, total paid: 0
12-2016
9767,407,316,316,0,0,0
total due: 407, total paid: 316
12-2016
9561,-4145,0,0,0,0,0
total due: -4145, total paid: 0
12-2016
9769,2106,2106,2106,0,0,0
9755,3285,0,0,0,0,0
55788,11131,0,0,0,0,0
55752,517,517,517,0,0,0
9813,117,117,117,0,0,0
total due: 17156, total paid: 2740
1-2017
55802,12788,0,0,0,0,0
9828,632,0,0,0,0,0
103134,-106,0,0,0,0,0
103135,-123,0,0,0,0,0
9883,1391,1391,1391,0,0,0
9899,2797,2797,2797,0,0,0
55816,492,492,492,0,0,0
55832,25672,0,0,0,0,0
total due: 43543, total paid: 4680
3-2017
103209,-211,0,0,0,0,0
103186,-49,0,0,0,0,0
9900,-4150,0,0,0,0,0
total due: -4410, total paid: 0
3-2017
10455,398,398,398,0,0,0
total due: 398, total paid: 398
3-2017
10127,-200,0,0,0,0,0
total due: -200, total paid: 0
4-2017
55928,60,0,0,0,0,0
10295,500,500,500,0,0,0
10429,2480,0,0,0,0,0
10488,4774,0,0,0,0,0
10503,2155,0,0,0,0,0
10333,5562,0,0,0,0,0
103234,-249,0,0,0,0,0
10451,7551,0,0,0,0,0
10461,1707,0,0,0,0,0
10507,493,0,0,0,0,0
10310,183,0,0,0,0,0
10305,3283,0,0,0,0,0
103210,-22,0,0,0,0,0
10334,705,0,0,0,0,0
10365,758,0,0,0,0,0
10020,-144.16,0,0,0,0,0
10405,156,0,0,0,0,0
10397,140,0,0,0,0,0
10410,249,0,0,0,0,0
10411,222,0,0,0,0,0
10423,355,0,0,0,0,0
10444,140,0,0,0,0,0
10445,870,0,0,0,0,0
10499,840,0,0,0,0,0
10492,1104,1104,1104,0,0,0
10463,398,398,398,0,0,0
55940,33914,33913.89,33913.89,0,0,0
total due: 68183.84, total paid: 35915.89
4-2017
10645,39,0,0,0,0,0
10526,31,0,0,0,0,0
total due: 70, total paid: 0
4-2017
10540,4091,0,0,0,0,0
10541,5789,0,0,0,0,0
103255,-632,0,0,0,0,0
103256,-140,0,0,0,0,0
10533,1198,0,0,0,0,0
10558,632,0,0,0,0,0
10572,580,0,0,0,0,0
10587,1639,0,0,0,0,0
10588,110,0,0,0,0,0
10594,1796,0,0,0,0,0
10616,78,0,0,0,0,0
10618,408,0,0,0,0,0
10621,2336,0,0,0,0,0
10622,197,0,0,0,0,0
10623,204,0,0,0,0,0
10650,731,0,0,0,0,0
10651,1236,0,0,0,0,0
10652,1597,0,0,0,0,0
55958,26730,0,0,0,0,0
10522,388,0,0,0,0,0
103263,-5,0,0,0,0,0
12776,-123,0,0,0,0,0
10543,1031,1031,1031,0,0,0
55996,666,666,666,0,0,0
10565,152,152,152,0,0,0
55964,59,59,59,0,0,0
103269,-98,0,0,0,0,0
55988,27840,27839.98,27839.98,0,0,0
55974,131,131,131,0,0,0
10545,129,129,129,0,0,0
total due: 78750, total paid: 30007.98
5-2017
55949,939,939,939,0,0,0
total due: 939, total paid: 939
5-2017
56065,686,0,0,0,0,0
10821,2832,0,0,0,0,0
10822,994,0,0,0,0,0
10769,5866,0,0,0,0,0
56036,14,0,0,0,0,0
10861,1537,0,0,0,0,0
56057,193,193,193,0,0,0
56035,39,39,39,0,0,0
10800,5132,631,631,0,0,0
10695,256,0,0,0,0,0
total due: 17549, total paid: 863
5-2017
56063,164,0,0,0,0,0
10774,1310,0,0,0,0,0
10788,200,200,200,0,0,0
103322,-250,0,0,0,0,0
10686,4420,0,0,0,0,0
10217,-10000,0,0,0,0,0
10675,140,140,140,0,0,0
103295,-79,0,0,0,0,0
10693,460,460,460,0,0,0
